Name,OriginalSourceSections,Parent,Zone,Classification,Verified,Indexable,Sitemap,AliasOf,PageURL,Reason
Abdullapurmet,AIRPORT / SOUTH / TURKAYAMJAL,,outskirts,Published,true,true,true,,https://turbofix.in/locations/abdullapurmet,Live page — verified and indexable.
Abids,CENTRAL HYDERABAD,,central,Published,true,true,true,,https://turbofix.in/locations/abids,Live page — verified and indexable.
AC Guards,LAKDICAPUL / SAIFABAD,,central,Published,true,true,true,,https://turbofix.in/locations/ac-guards,Live page — verified and indexable.
Adibatla,AIRPORT / SOUTH / ADIBATLA | AIRPORT / SOUTH / KONGARA KALAN | AIRPORT / SOUTH / TURKAYAMJAL,,outskirts,Published,true,true,true,,https://turbofix.in/locations/adibatla,Live page — verified and indexable.
Adikmet,ADDITIONAL LOCALITIES,,central,Published,true,true,true,,https://turbofix.in/locations/adikmet,Live page — verified and indexable.
Afzal Gunj,CENTRAL HYDERABAD,,central,Published,true,true,true,,https://turbofix.in/locations/afzal-gunj,Live page — verified and indexable.
Aghapura,NAMPALLY,,central,Published,true,true,true,,https://turbofix.in/locations/aghapura,Live page — verified and indexable.
Ahmed Nagar,NAMPALLY | MEHDIPATNAM / SOUTH-CENTRAL,,central,Published,true,true,true,,https://turbofix.in/locations/ahmed-nagar,Live page — verified and indexable.
Airport Colony,AIRPORT / SOUTH / SHAMSHABAD,,south,Published,true,true,true,,https://turbofix.in/locations/airport-colony,Live page — verified and indexable.
Al Hasnath Colony,TOLICHOWKI | SHAIKPET,,south,Published,true,true,true,,https://turbofix.in/locations/al-hasnath-colony,Live page — verified and indexable.
Aliabad,OLD CITY / SHAHALIBANDA | OLD CITY / MOGHALPURA | OLD CITY / HUSSAINI ALAM,,south,Published,true,true,true,,https://turbofix.in/locations/aliabad,Live page — verified and indexable.
Allwyn Colony,KUKATPALLY / NORTHWEST | MIYAPUR | HAFEEZPET,,west,Published,true,true,true,,https://turbofix.in/locations/allwyn-colony,Live page — verified and indexable.
Almasguda,MEERPET | JILLELAGUDA,,south,Published,true,true,true,,https://turbofix.in/locations/almasguda,Live page — verified and indexable.
Alwal,ALWAL | TRIMULGHERRY,,north,Published,true,true,true,,https://turbofix.in/locations/alwal,Live page — verified and indexable.
Amberpet,RAMANTHAPUR | ADDITIONAL LOCALITIES,,north,Published,true,true,true,,https://turbofix.in/locations/amberpet,Live page — verified and indexable.
Ameenpur,MIYAPUR | PATANCHERU | BEERAMGUDA | AMEENPUR,,west,Published,true,true,true,,https://turbofix.in/locations/ameenpur,Live page — verified and indexable.
Ameerpet,PUNJAGUTTA | AMEERPET | SR NAGAR,,central,Published,true,true,true,,https://turbofix.in/locations/ameerpet,Live page — verified and indexable.
Ammuguda,SECUNDERABAD / NORTH,,north,Published,true,true,true,,https://turbofix.in/locations/ammuguda,Live page — verified and indexable.
Anandbagh,MALKAJGIRI,,north,Published,true,true,true,,https://turbofix.in/locations/anandbagh,Live page — verified and indexable.
Anjaiah Nagar,GACHIBOWLI,,west,Published,true,true,true,,https://turbofix.in/locations/anjaiah-nagar,Live page — verified and indexable.
Ankireddypally,EAST / NORTH-EAST / KEESARA,,outskirts,Published,true,true,true,,https://turbofix.in/locations/ankireddypally,Live page — verified and indexable.
Ankushapur,EAST / NORTH-EAST / GHATKESAR,,east,Published,true,true,true,,https://turbofix.in/locations/ankushapur,Live page — verified and indexable.
AS Rao Nagar,SAINIKPURI | ECIL | AS RAO NAGAR | KAPRA,,north,Published,true,true,true,,https://turbofix.in/locations/as-rao-nagar,Live page — verified and indexable.
Ashok Nagar,HIMAYATNAGAR / BASHEERBAGH | BEERAMGUDA,,central,Published,true,true,true,,https://turbofix.in/locations/ashok-nagar,Live page — verified and indexable.
Asif Nagar,NAMPALLY | MEHDIPATNAM / SOUTH-CENTRAL,,south,Published,true,true,true,,https://turbofix.in/locations/asif-nagar,Live page — verified and indexable.
Athvelly,MEDCHAL,,north,Published,true,true,true,,https://turbofix.in/locations/athvelly,Live page — verified and indexable.
Attapur,ATTAPUR | RAJENDRANAGAR,,south,Published,true,true,true,,https://turbofix.in/locations/attapur,Live page — verified and indexable.
Ayyappa Society,WEST HYDERABAD / IT CORRIDOR | MADHAPUR,,west,Published,true,true,true,,https://turbofix.in/locations/ayyappa-society,Live page — verified and indexable.
Azampura,OLD CITY / MALAKPET,,south,Published,true,true,true,,https://turbofix.in/locations/azampura,Live page — verified and indexable.
Bachupally,NIZAMPET | BACHUPALLY | PRAGATHI NAGAR | AMEENPUR,,west,Published,true,true,true,,https://turbofix.in/locations/bachupally,Live page — verified and indexable.
Badangpet,MEERPET | JILLELAGUDA | BADANGPET,,south,Published,true,true,true,,https://turbofix.in/locations/badangpet,Live page — verified and indexable.
Badichowdi,CENTRAL HYDERABAD,,central,Published,true,true,true,,https://turbofix.in/locations/badichowdi,Live page — verified and indexable.
Bagh Lingampally,HIMAYATNAGAR / BASHEERBAGH | ADDITIONAL LOCALITIES,,central,Published,true,true,true,,https://turbofix.in/locations/bagh-lingampally,Live page — verified and indexable.
Bahadurpally,ADDITIONAL LOCALITIES,,west,Published,true,true,true,,https://turbofix.in/locations/bahadurpally,Live page — verified and indexable.
Bahadurpura,OLD CITY / FALAKNUMA | OLD CITY / BAHADURPURA,,south,Published,true,true,true,,https://turbofix.in/locations/bahadurpura,Live page — verified and indexable.
Bairamalguda,LB NAGAR / EAST / SOUTH-EAST | HASTHINAPURAM,,east,Published,true,true,true,,https://turbofix.in/locations/bairamalguda,Live page — verified and indexable.
Balaji Nagar,KUKATPALLY / NORTHWEST,,west,Published,true,true,true,,https://turbofix.in/locations/balaji-nagar,Live page — verified and indexable.
Balanagar,SANATH NAGAR | BOWENPALLY,,west,Published,true,true,true,,https://turbofix.in/locations/balanagar,Live page — verified and indexable.
Balapur,MEERPET | JILLELAGUDA | BADANGPET,,south,Published,true,true,true,,https://turbofix.in/locations/balapur,Live page — verified and indexable.
Balkampet,BEGUMPET | AMEERPET | SR NAGAR,,central,Published,true,true,true,,https://turbofix.in/locations/balkampet,Live page — verified and indexable.
Banjara Hills,BANJARA HILLS,,central,Published,true,true,true,,https://turbofix.in/locations/banjara-hills,Live page — verified and indexable.
Barkas,OLD CITY / CHANDRAYANGUTTA | OLD CITY / BARKAS | OLD CITY / KANCHANBAGH,,south,Published,true,true,true,,https://turbofix.in/locations/barkas,Live page — verified and indexable.
Barkatpura,BATCH 13 — MISSING MASTER-LIST ADDITIONS,,central,Published,true,true,true,,https://turbofix.in/locations/barkatpura,Live page — verified and indexable.
Basheerbagh,HIMAYATNAGAR / BASHEERBAGH,,central,Published,true,true,true,,https://turbofix.in/locations/basheerbagh,Live page — verified and indexable.
Batasingaram,HAYATHNAGAR,,outskirts,Published,true,true,true,,https://turbofix.in/locations/batasingaram,Live page — verified and indexable.
Beeramguda,PATANCHERU | BEERAMGUDA | AMEENPUR | RC PURAM,,west,Published,true,true,true,,https://turbofix.in/locations/beeramguda,Live page — verified and indexable.
Begumpet,SOMAJIGUDA | BEGUMPET,,central,Published,true,true,true,,https://turbofix.in/locations/begumpet,Live page — verified and indexable.
Bhagya Nagar Colony,KUKATPALLY / NORTHWEST,,west,Published,true,true,true,,https://turbofix.in/locations/bhagya-nagar-colony,Live page — verified and indexable.
Bharat Nagar,SANATH NAGAR | ERRAGADDA,,central,Published,true,true,true,,https://turbofix.in/locations/bharat-nagar,Live page — verified and indexable.
BHEL,TELLAPUR | CHANDANAGAR | LINGAMPALLY | PATANCHERU | BEERAMGUDA | AMEENPUR | RC PURAM,,west,Alias / Duplicate,true,true,true,RC Puram,https://turbofix.in/locations/rc-puram,"Same real locality as the published ""RC Puram"" page (supplied under a different name/spelling) — not a separate page, avoids duplicate content. Multiple spellings seen in the supplied list: BHEL / Ramachandrapuram / RC Puram / BHEL Township."
Bhoiguda,SECUNDERABAD / NORTH,,north,Published,true,true,true,,https://turbofix.in/locations/bhoiguda,Live page — verified and indexable.
Bholakpur,SECUNDERABAD / NORTH | ADDITIONAL LOCALITIES,,north,Published,true,true,true,,https://turbofix.in/locations/bholakpur,Live page — verified and indexable.
BN Reddy Nagar,VANASTHALIPURAM | HASTHINAPURAM | BN REDDY NAGAR | HAYATHNAGAR,,east,Published,true,true,true,,https://turbofix.in/locations/bn-reddy-nagar,Live page — verified and indexable.
Boduppal,UPPAL | BODUPPAL | PEERZADIGUDA,,north,Published,true,true,true,,https://turbofix.in/locations/boduppal,Live page — verified and indexable.
Boggulkunta,CENTRAL HYDERABAD,,central,Published,true,true,true,,https://turbofix.in/locations/boggulkunta,Live page — verified and indexable.
Bolarum,ALWAL | SUCHITRA | TRIMULGHERRY | ADDITIONAL LOCALITIES,,north,Published,true,true,true,,https://turbofix.in/locations/bolarum,Live page — verified and indexable.
Bollaram,ADDITIONAL LOCALITIES,,north,Published,true,true,true,,https://turbofix.in/locations/bollaram,Live page — verified and indexable.
Bongloor,AIRPORT / SOUTH / ADIBATLA | AIRPORT / SOUTH / TURKAYAMJAL | AIRPORT / SOUTH / IBRAHIMPATNAM,,outskirts,Published,true,true,true,,https://turbofix.in/locations/bongloor,Live page — verified and indexable.
Borabanda,ERRAGADDA,,central,Published,true,true,true,,https://turbofix.in/locations/borabanda,Live page — verified and indexable.
Bowenpally,SUCHITRA | BOWENPALLY | TRIMULGHERRY,,north,Published,true,true,true,,https://turbofix.in/locations/bowenpally,Live page — verified and indexable.
Bowrampet,BACHUPALLY | ADDITIONAL LOCALITIES,,west,Published,true,true,true,,https://turbofix.in/locations/bowrampet,Live page — verified and indexable.
Budwel,RAJENDRANAGAR,,south,Published,true,true,true,,https://turbofix.in/locations/budwel,Live page — verified and indexable.
Chaderghat,CENTRAL HYDERABAD,,south,Published,true,true,true,,https://turbofix.in/locations/chaderghat,Live page — verified and indexable.
Chaitanya Enclave,MANIKONDA,,west,Published,true,true,true,,https://turbofix.in/locations/chaitanya-enclave,Live page — verified and indexable.
Chaitanyapuri,LB NAGAR / EAST / SOUTH-EAST | KOTHAPET | DILSUKHNAGAR,,east,Published,true,true,true,,https://turbofix.in/locations/chaitanyapuri,Live page — verified and indexable.
Champapet,OLD CITY / SANTOSHNAGAR | SAROORNAGAR,,south,Published,true,true,true,,https://turbofix.in/locations/champapet,Live page — verified and indexable.
Chanchalguda,OLD CITY / DABEERPURA | OLD CITY / YAKUTPURA | OLD CITY / SAIDABAD | OLD CITY / REIN BAZAAR | OLD CITY / CHANCHALGUDA | OLD CITY / MADANNAPET,,south,Published,true,true,true,,https://turbofix.in/locations/chanchalguda,Live page — verified and indexable.
