originalName,normalizedName,currentName,slug,status,classification,parent,zone,verified,indexable,inSitemap,canonical,pageExists,aliasOf,reason,sourceSection,notes
Abids,abids,Abids,abids,published,PUBLISHED,Koti,central,true,true,true,https://turbofix.in/locations/abids,true,,Live page — verified and indexable.,CENTRAL HYDERABAD,
AC Guards,acguards,AC Guards,ac-guards,published,PUBLISHED,Khairatabad,central,true,true,true,https://turbofix.in/locations/ac-guards,true,,Live page — verified and indexable.,LAKDICAPUL / SAIFABAD,
Adibatla,adibatla,Adibatla,adibatla,published,PUBLISHED,Ghatkesar,outskirts,true,true,true,https://turbofix.in/locations/adibatla,true,,Live page — verified and indexable.,AIRPORT / SOUTH / ADIBATLA | AIRPORT / SOUTH / KONGARA KALAN | AIRPORT / SOUTH / TURKAYAMJAL,
Adikmet,adikmet,Adikmet,adikmet,published,PUBLISHED,Vidyanagar,central,true,true,true,https://turbofix.in/locations/adikmet,true,,Live page — verified and indexable.,ADDITIONAL LOCALITIES,
Afzal Gunj,afzalgunj,Afzal Gunj,afzal-gunj,published,PUBLISHED,Abids,central,true,true,true,https://turbofix.in/locations/afzal-gunj,true,,Live page — verified and indexable.,CENTRAL HYDERABAD,
Aghapura,aghapura,Aghapura,aghapura,published,PUBLISHED,Nampally,central,true,true,true,https://turbofix.in/locations/aghapura,true,,Live page — verified and indexable.,NAMPALLY,
Ahmed Nagar,ahmednagar,Ahmed Nagar,ahmed-nagar,published,PUBLISHED,Banjara Hills,central,true,true,true,https://turbofix.in/locations/ahmed-nagar,true,,Live page — verified and indexable.,NAMPALLY | MEHDIPATNAM / SOUTH-CENTRAL,
Airport Colony,airportcolony,Airport Colony,airport-colony,published,PUBLISHED,Shamshabad,south,true,true,true,https://turbofix.in/locations/airport-colony,true,,Live page — verified and indexable.,AIRPORT / SOUTH / SHAMSHABAD,
Al Hasnath Colony,alhasnathcolony,Al Hasnath Colony,al-hasnath-colony,published,PUBLISHED,Tolichowki,south,true,true,true,https://turbofix.in/locations/al-hasnath-colony,true,,Live page — verified and indexable.,TOLICHOWKI | SHAIKPET,
Aliabad,aliabad,Aliabad,aliabad,published,PUBLISHED,Falaknuma,south,true,true,true,https://turbofix.in/locations/aliabad,true,,Live page — verified and indexable.,OLD CITY / SHAHALIBANDA | OLD CITY / MOGHALPURA | OLD CITY / HUSSAINI ALAM,
Allwyn Colony,allwyncolony,Allwyn Colony,allwyn-colony,published,PUBLISHED,Kukatpally,west,true,true,true,https://turbofix.in/locations/allwyn-colony,true,,Live page — verified and indexable.,KUKATPALLY / NORTHWEST | MIYAPUR | HAFEEZPET,
Alwal,alwal,Alwal,alwal,published,PUBLISHED,Secunderabad,north,true,true,true,https://turbofix.in/locations/alwal,true,,Live page — verified and indexable.,ALWAL | TRIMULGHERRY,
Amberpet,amberpet,Amberpet,amberpet,published,PUBLISHED,Tarnaka,north,true,true,true,https://turbofix.in/locations/amberpet,true,,Live page — verified and indexable.,RAMANTHAPUR | ADDITIONAL LOCALITIES,
Ameenpur,ameenpur,Ameenpur,ameenpur,published,PUBLISHED,Miyapur,west,true,true,true,https://turbofix.in/locations/ameenpur,true,,Live page — verified and indexable.,MIYAPUR | PATANCHERU | BEERAMGUDA | AMEENPUR,
Ameerpet,ameerpet,Ameerpet,ameerpet,published,PUBLISHED,SR Nagar,central,true,true,true,https://turbofix.in/locations/ameerpet,true,,Live page — verified and indexable.,PUNJAGUTTA | AMEERPET | SR NAGAR,
